id_agence,code_agence,nom_agence,type_agence,date_ouverture,statut_agence
1,AG00001,Agence Garoua Poumpoumré 001,Relais,2024-06-09,Active
2,AG00002,Agence Kribi Mboa Manga 002,Bureau de terrain,2018-07-16,Active
3,AG00003,Agence Garoua Djamboutou 003,Principale,2022-04-21,Active
4,AG00004,Agence Tiko Likomba 004,Principale,2024-03-04,Active
5,AG00005,Agence Douala Bonamoussadi 005,Relais,2015-02-21,Fermée
6,AG00006,Agence Ngaoundéré Baladji 006,Bureau de terrain,2025-12-29,Active
7,AG00007,Agence Bamenda Nkwen 007,Bureau de terrain,2022-11-22,Active
8,AG00008,Agence Batouri Centre 008,Relais,2022-11-02,Active
9,AG00009,Agence Maroua Domayo 009,Relais,2024-03-18,Active
10,AG00010,Agence Dschang Foto 010,Relais,2025-06-18,Active
11,AG00011,Agence Ebolowa Nko'ovos 011,Relais,2019-02-24,Active
12,AG00012,Agence Yaoundé Bastos 012,Relais,2019-08-09,Suspendue
13,AG00013,Agence Buea Molyko 013,Relais,2024-03-23,Active
14,AG00014,Agence Yaoundé Biyem-Assi 014,Relais,2022-04-26,Active
15,AG00015,Agence Tiko Likomba 015,Bureau de terrain,2025-10-23,Active
16,AG00016,Agence Dschang Campus 016,Bureau de terrain,2018-10-13,Fermée
17,AG00017,Agence Yaoundé Nkolbisson 017,Relais,2015-03-27,Active
18,AG00018,Agence Dschang Campus 018,Relais,2022-10-06,Active
19,AG00019,Agence Garoua Laindé 019,Principale,2017-06-26,Active
20,AG00020,Agence Buea Molyko 020,Bureau de terrain,2023-08-22,Active
21,AG00021,Agence Ngaoundéré Sabongari 021,Principale,2021-08-19,Active
22,AG00022,Agence Garoua Poumpoumré 022,Principale,2017-04-12,Active
23,AG00023,Agence Douala Japoma 023,Principale,2018-08-09,Active
24,AG00024,Agence Ebolowa Nko'ovos 024,Relais,2025-10-19,Active
25,AG00025,Agence Garoua Laindé 025,Bureau de terrain,2018-09-30,Active
26,AG00026,Agence Kribi Mboa Manga 026,Relais,2020-12-13,Active
27,AG00027,Agence Garoua Djamboutou 027,Relais,2018-05-17,Active
28,AG00028,Agence Ngaoundéré Baladji 028,Bureau de terrain,2016-11-03,Fermée
29,AG00029,Agence Buea Molyko 029,Relais,2016-08-20,Active
30,AG00030,Agence Garoua Djamboutou 030,Bureau de terrain,2024-06-18,Suspendue
31,AG00031,Agence Dschang Campus 031,Relais,2024-12-25,Fermée
