code_concurrent,nom_institution,type_institution,categorie_institution,region,departement,arrondissement,ville,quartier,nombre_agences_zone,distance_moyenne_km
CONC-0001,Afriland First Bank,Banque commerciale,Concurrent Direct,Littoral,Wouri,Douala V,douala,Bonamoussadi,1,14.37
CONC-0002,BICEC,Banque commerciale,Concurrent Direct,Sud,Mvila,Ebolowa I,Ebolowa,Nko'ovos,8,3.54
CONC-0003,Société Générale Cameroun,Banque commerciale,Concurrent Direct,Ouest,Noun,Foumban,foumban,Centre Ville,6,21.92
CONC-0004,CBC,Banque commerciale,Concurrent Direct,Est,Lom-et-Djérem,Bertoua I,bertoua,Centre Ville,8,7.91
CONC-0005,Ecobank Cameroun,Banque commerciale,Concurrent Direct,Extrême-Nord,Diamaré,Maroua I,Maroua,Domayo,5,1.49
CONC-0006,UBA Cameroun,Banque commerciale,Concurrent Direct,Centre,Mfoundi,Yaoundé VI,YDE,Biyem assi,8,15.61
CONC-0007,CCA Bank,Banque commerciale,Concurrent Direct,Nord,Bénoué,Garoua II,Garoua,Laindé,4,13.85
CONC-0008,SCB Cameroun,Banque commerciale,Concurrent Direct,Centre,Mfoundi,Yaoundé I,yde,Bastos,1,15.27
CONC-0009,Banque Atlantique Cameroun,Banque commerciale,Concurrent Direct,Centre,Mfoundi,Yaoundé II,YDE,Mokolo,8,22.51
CONC-0010,Orange Money,Télécom,Concurrent Indirect,Adamaoua,Vina,Ngaoundéré II,Ngaoundéré,Sabongari,2,17.45
CONC-0011,MTN MoMo,Télécom,Concurrent Indirect,Centre,Mfoundi,Yaoundé VII,yde,Nkolbisson,3,9.31
CONC-0012,Express Union Finance,Microfinance,Concurrent Direct,Littoral,Wouri,Douala V,Dla,Makepe,0,8.4
CONC-0013,ACEP Cameroun,Microfinance,Concurrent Direct,Sud-Ouest,Fako,Tiko,Tiko,Likomba,7,20.49
CONC-0014,Advans Cameroun,Microfinance,Concurrent Direct,Extrême-Nord,Mayo-Tsanaga,Mokolo,Mokolo,Centre,4,18.87
CONC-0015,La Régionale Bank,Banque commerciale,Concurrent Direct,Ouest,Noun,Foumban,foumban,Centre,8,2.7
CONC-0016,Proximité Kribi Mboa,Microfinance,Concurrent Direct,Adamaoua,Vina,Ngaoundéré I,ngaoundéré,Baladji,2,11.1
CONC-0017,Espoir Dschang Finance,Microfinance,Concurrent Direct,Nord-Ouest,Mezam,Bamenda I,bamenda,Commercial Avenue,8,20.98
